#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1996 08 01 23589 23589.5 2226  1  3.333  3.000  2.667  2.000  2.667  2.000  1.667  3.333   18   15   12    7   12    7    6   18    12  26     80.4     82.8 2
1996 08 02 23590 23590.5 2226  2  2.667  1.333  3.000  2.333  3.000  1.667  1.000  1.333   12    5   15    9   15    6    4    5     9  31     79.6     81.9 2
1996 08 03 23591 23591.5 2226  3  1.667  2.333  1.667  2.667  1.333  1.333  0.667  2.000    6    9    6   12    5    5    3    7     7  31     79.3     81.6 2
1996 08 04 23592 23592.5 2226  4  0.667  1.000  2.000  2.000  1.333  1.667  1.333  1.000    3    4    7    7    5    6    5    4     5  29     77.6     79.9 2
1996 08 05 23593 23593.5 2226  5  2.000  2.333  1.667  1.000  1.667  1.000  1.333  1.667    7    9    6    4    6    4    5    6     6  22     74.1     76.2 2
1996 08 06 23594 23594.5 2226  6  1.000  1.000  1.000  1.000  2.333  2.333  3.000  2.000    4    4    4    4    9    9   15    7     7  14     73.0     75.1 2
1996 08 07 23595 23595.5 2226  7  0.667  1.000  1.333  1.333  0.667  1.000  2.667  1.667    3    4    5    5    3    4   12    6     5  23     71.6     73.7 2
1996 08 08 23596 23596.5 2226  8  1.000  1.333  0.667  1.000  0.667  1.000  0.667  1.333    4    5    3    4    3    4    3    5     4  15     69.8     71.7 2
1996 08 09 23597 23597.5 2226  9  2.000  0.333  0.333  2.000  2.333  2.333  2.000  2.667    7    2    2    7    9    9    7   12     7  19     70.2     72.1 2
1996 08 10 23598 23598.5 2226 10  1.667  2.000  1.000  0.667  1.000  0.667  0.667  0.667    6    7    4    3    4    3    3    3     4  20     71.6     73.6 2
1996 08 11 23599 23599.5 2226 11  1.667  0.667  1.333  0.333  0.333  1.000  1.333  2.000    6    3    5    2    2    4    5    7     4  29     72.9     74.8 2
1996 08 12 23600 23600.5 2226 12  1.333  1.333  1.000  1.000  1.000  0.667  0.667  2.000    5    5    4    4    4    3    3    7     4  23     70.1     72.0 2
1996 08 13 23601 23601.5 2226 13  2.667  1.667  1.000  1.000  1.667  0.667  0.667  1.000   12    6    4    4    6    3    3    4     5  16     69.6     71.4 2
1996 08 14 23602 23602.5 2226 14  1.667  1.667  1.000  2.333  3.333  3.000  3.667  3.000    6    6    4    9   18   15   22   15    12  29     68.8     70.5 2
1996 08 15 23603 23603.5 2226 15  2.000  1.333  2.000  2.333  1.333  1.667  1.000  1.000    7    5    7    9    5    6    4    4     6  26     67.6     69.3 2
1996 08 16 23604 23604.5 2226 16  1.667  1.333  1.667  3.000  2.667  3.000  3.333  2.333    6    5    6   15   12   15   18    9    11  14     67.6     69.3 2
1996 08 17 23605 23605.5 2226 17  3.667  3.000  2.333  2.333  2.000  1.667  1.000  2.000   22   15    9    9    7    6    4    7    10  15     67.8     69.5 2
1996 08 18 23606 23606.5 2226 18  0.667  0.667  1.000  1.667  1.333  2.000  1.333  1.333    3    3    4    6    5    7    5    5     5  12     66.7     68.4 2
1996 08 19 23607 23607.5 2226 19  1.333  1.333  1.333  1.333  1.000  1.000  0.333  1.333    5    5    5    5    4    4    2    5     4  15     67.7     69.3 2
1996 08 20 23608 23608.5 2226 20  1.667  1.667  2.667  2.333  2.333  1.667  2.000  1.000    6    6   12    9    9    6    7    4     7  14     68.5     70.1 2
1996 08 21 23609 23609.5 2226 21  0.333  1.333  1.000  2.000  1.667  1.000  1.667  1.333    2    5    4    7    6    4    6    5     5  14     69.7     71.3 2
1996 08 22 23610 23610.5 2226 22  1.333  1.667  0.333  0.333  1.333  2.333  0.667  1.333    5    6    2    2    5    9    3    5     5  12     72.8     74.5 2
1996 08 23 23611 23611.5 2226 23  2.333  3.333  3.333  2.667  2.667  1.000  2.000  1.667    9   18   18   12   12    4    7    6    11  14     74.2     75.8 2
1996 08 24 23612 23612.5 2226 24  2.333  2.000  1.667  1.667  2.333  1.667  1.667  3.000    9    7    6    6    9    6    6   15     8  22     74.6     76.2 2
1996 08 25 23613 23613.5 2226 25  3.667  2.667  3.667  2.667  2.667  3.667  3.000  2.000   22   12   22   12   12   22   15    7    16  14     74.7     76.3 2
1996 08 26 23614 23614.5 2226 26  2.333  3.000  3.333  2.000  1.000  1.667  2.000  3.000    9   15   18    7    4    6    7   15    10  18     74.2     75.8 2
1996 08 27 23615 23615.5 2226 27  3.000  3.667  3.333  2.333  1.667  3.000  2.667  2.667   15   22   18    9    6   15   12   12    14  18     74.3     75.9 2
1996 08 28 23616 23616.5 2227  1  3.000  2.333  2.333  2.333  3.333  3.000  2.667  3.333   15    9    9    9   18   15   12   18    13  15     73.3     74.7 2
1996 08 29 23617 23617.5 2227  2  4.667  5.667  5.333  3.667  4.000  3.667  3.000  5.333   39   67   56   22   27   22   15   56    38  15     73.5     75.0 2
1996 08 30 23618 23618.5 2227  3  5.000  3.000  3.333  1.333  1.333  2.333  2.667  2.667   48   15   18    5    5    9   12   12    16  19     73.3     74.7 2
1996 08 31 23619 23619.5 2227  4  3.000  3.333  3.000  3.000  2.667  1.667  1.667  0.667   15   18   15   15   12    6    6    3    11  26     76.2     77.6 2
1996 09 01 23620 23620.5 2227  5  2.667  1.667  1.333  1.667  1.000  1.000  1.667  0.333   12    6    5    6    4    4    6    2     6  24     73.5     74.8 2
1996 09 02 23621 23621.5 2227  6  1.000  1.667  1.333  1.333  1.333  1.333  0.667  1.000    4    6    5    5    5    5    3    4     5  17     72.3     73.6 2
1996 09 03 23622 23622.5 2227  7  0.000  0.667  0.667  1.000  0.667  0.667  0.333  0.667    0    3    3    4    3    3    2    3     3  13     71.2     72.4 2
1996 09 04 23623 23623.5 2227  8  0.333  0.667  0.667  1.667  2.000  3.000  2.000  4.333    2    3    3    6    7   15    7   32     9   0     70.8     72.0 2
1996 09 05 23624 23624.5 2227  9  2.000  2.333  1.667  1.333  1.000  1.333  1.000  2.000    7    9    6    5    4    5    4    7     6   0     70.3     71.4 2
1996 09 06 23625 23625.5 2227 10  2.333  1.000  1.333  1.667  1.333  1.333  0.333  2.000    9    4    5    6    5    5    2    7     5   0     69.7     70.8 2
1996 09 07 23626 23626.5 2227 11  1.667  2.667  2.667  2.333  1.667  0.667  1.000  2.000    6   12   12    9    6    3    4    7     7  22     69.5     70.5 2
1996 09 08 23627 23627.5 2227 12  2.667  2.667  0.667  1.333  1.667  0.667  1.333  0.667   12   12    3    5    6    3    5    3     6   0     68.2     69.2 2
1996 09 09 23628 23628.5 2227 13  0.333  0.667  0.333  2.000  1.667  1.000  1.667  4.333    2    3    2    7    6    4    6   32     8   0     67.9     68.8 2
1996 09 10 23629 23629.5 2227 14  5.000  5.000  4.667  4.667  3.667  3.000  4.000  2.333   48   48   39   39   22   15   27    9    31   0     68.0     68.9 2
1996 09 11 23630 23630.5 2227 15  3.333  4.000  3.333  3.000  3.333  2.667  2.667  4.333   18   27   18   15   18   12   12   32    19   0     67.6     68.5 2
1996 09 12 23631 23631.5 2227 16  4.667  3.667  5.000  3.000  4.000  4.333  3.000  4.333   39   22   48   15   27   32   15   32    29  15     67.8     68.6 2
1996 09 13 23632 23632.5 2227 17  4.667  2.333  2.333  3.000  2.000  2.333  4.000  4.000   39    9    9   15    7    9   27   27    18   0     67.3     68.1 2
1996 09 14 23633 23633.5 2227 18  3.667  2.667  2.333  3.000  1.667  1.333  1.667  1.333   22   12    9   15    6    5    6    5    10   0     67.1     67.9 2
1996 09 15 23634 23634.5 2227 19  2.000  2.000  3.000  2.667  4.000  2.333  5.000  3.333    7    7   15   12   27    9   48   18    18   0     66.4     67.1 2
1996 09 16 23635 23635.5 2227 20  2.333  4.000  4.000  3.000  3.333  4.000  2.000  2.333    9   27   27   15   18   27    7    9    17   0     68.0     68.7 2
1996 09 17 23636 23636.5 2227 21  3.000  3.000  1.333  1.333  1.333  1.667  2.000  2.667   15   15    5    5    5    6    7   12     9   0     69.0     69.6 2
1996 09 18 23637 23637.5 2227 22  3.667  1.667  3.667  3.667  4.000  3.000  3.000  2.667   22    6   22   22   27   15   15   12    18   0     68.9     69.6 2
1996 09 19 23638 23638.5 2227 23  1.333  0.667  1.667  2.667  2.667  5.000  3.667  2.333    5    3    6   12   12   48   22    9    15   0     69.2     69.8 2
1996 09 20 23639 23639.5 2227 24  4.667  4.000  4.333  5.667  4.333  3.333  3.000  4.667   39   27   32   67   32   18   15   39    34   0     69.2     69.7 2
1996 09 21 23640 23640.5 2227 25  5.000  4.333  4.667  4.333  3.333  4.333  3.333  3.000   48   32   39   32   18   32   18   15    29   0     69.8     70.3 2
1996 09 22 23641 23641.5 2227 26  3.667  3.667  5.333  3.333  4.667  5.333  2.000  1.667   22   22   56   18   39   56    7    6    28   0     68.6     69.1 2
1996 09 23 23642 23642.5 2227 27  3.000  4.667  3.667  5.000  4.000  4.667  2.667  3.000   15   39   22   48   27   39   12   15    27   0     69.9     70.4 2
1996 09 24 23643 23643.5 2228  1  2.333  2.000  2.000  2.333  2.667  1.333  2.000  1.667    9    7    7    9   12    5    7    6     8   0     70.0     70.4 2
1996 09 25 23644 23644.5 2228  2  1.000  3.667  2.667  2.333  2.333  2.333  1.000  2.333    4   22   12    9    9    9    4    9    10   0     70.8     71.2 2
1996 09 26 23645 23645.5 2228  3  2.667  4.333  3.000  2.333  3.000  4.333  6.333  4.333   12   32   15    9   15   32   94   32    30   0     70.0     70.4 2
1996 09 27 23646 23646.5 2228  4  4.333  4.000  2.667  3.667  2.667  2.000  1.000  2.333   32   27   12   22   12    7    4    9    16   0     69.8     70.1 2
1996 09 28 23647 23647.5 2228  5  1.667  4.333  3.667  2.000  3.000  3.333  2.667  1.667    6   32   22    7   15   18   12    6    15   0     71.0     71.2 2
1996 09 29 23648 23648.5 2228  6  2.333  2.667  2.333  1.000  1.667  1.333  2.333  0.667    9   12    9    4    6    5    9    3     7   0     70.1     70.3 2
1996 09 30 23649 23649.5 2228  7  0.333  1.667  1.000  1.000  1.333  1.333  1.000  0.333    2    6    4    4    5    5    4    2     4   0     69.5     69.7 2
1996 10 01 23650 23650.5 2228  8  1.667  2.000  1.000  0.000  0.333  0.333  2.000  2.333    6    7    4    0    2    2    7    9     5   0     69.5     69.6 2
1996 10 02 23651 23651.5 2228  9  1.000  2.000  2.333  1.000  3.000  3.333  2.000  2.667    4    7    9    4   15   18    7   12    10   0     69.7     69.8 2
1996 10 03 23652 23652.5 2228 10  2.333  3.667  3.667  1.667  2.333  3.333  3.667  3.000    9   22   22    6    9   18   22   15    15   0     69.6     69.6 2
1996 10 04 23653 23653.5 2228 11  1.000  1.667  0.667  0.667  2.333  2.667  1.333  1.667    4    6    3    3    9   12    5    6     6   0     69.4     69.4 2
1996 10 05 23654 23654.5 2228 12  0.667  1.000  0.333  1.000  0.667  0.333  1.000  0.333    3    4    2    4    3    2    4    2     3   0     68.5     68.5 2
1996 10 06 23655 23655.5 2228 13  1.333  0.333  1.000  0.667  0.667  0.333  0.000  0.000    5    2    4    3    3    2    0    0     2   0     68.8     68.8 2
1996 10 07 23656 23656.5 2228 14  0.000  0.333  0.000  1.000  1.000  1.333  2.000  1.667    0    2    0    4    4    5    7    6     4   0     68.3     68.2 2
1996 10 08 23657 23657.5 2228 15  1.667  1.667  1.667  1.667  2.000  3.000  4.000  2.000    6    6    6    6    7   15   27    7    10   0     67.9     67.7 2
1996 10 09 23658 23658.5 2228 16  2.667  4.667  4.333  2.333  2.667  2.667  4.000  3.333   12   39   32    9   12   12   27   18    20   0     67.9     67.7 2
1996 10 10 23659 23659.5 2228 17  3.000  4.000  1.333  1.667  2.333  2.333  2.000  1.333   15   27    5    6    9    9    7    5    10   0     67.6     67.4 2
1996 10 11 23660 23660.5 2228 18  1.667  1.667  1.000  1.333  2.667  2.333  2.667  1.667    6    6    4    5   12    9   12    6     8   0     66.7     66.4 2
1996 10 12 23661 23661.5 2228 19  2.000  3.333  2.333  3.000  3.667  3.667  2.667  3.000    7   18    9   15   22   22   12   15    15   0     67.2     66.9 2
1996 10 13 23662 23662.5 2228 20  3.000  5.000  4.333  3.333  1.667  2.333  2.333  2.667   15   48   32   18    6    9    9   12    19   0     67.6     67.3 2
1996 10 14 23663 23663.5 2228 21  4.333  3.333  2.000  3.333  3.000  2.667  0.667  1.333   32   18    7   18   15   12    3    5    14   0     68.6     68.2 2
1996 10 15 23664 23664.5 2228 22  1.667  2.333  1.333  0.667  0.333  1.000  1.667  0.667    6    9    5    3    2    4    6    3     5   0     69.0     68.6 2
1996 10 16 23665 23665.5 2228 23  2.667  1.667  2.667  2.000  3.333  3.000  2.000  1.000   12    6   12    7   18   15    7    4    10   0     68.6     68.1 2
1996 10 17 23666 23666.5 2228 24  0.667  1.000  0.667  1.333  1.000  1.667  2.000  3.000    3    4    3    5    4    6    7   15     6   0     68.5     68.0 2
1996 10 18 23667 23667.5 2228 25  5.333  5.333  4.333  3.667  2.333  2.000  3.000  3.333   56   56   32   22    9    7   15   18    27   0     69.6     69.0 2
1996 10 19 23668 23668.5 2228 26  4.333  4.333  3.667  4.667  5.000  5.333  3.333  5.333   32   32   22   39   48   56   18   56    38   0     71.0     70.4 2
1996 10 20 23669 23669.5 2228 27  4.000  4.000  3.667  2.333  2.667  2.333  2.333  2.667   27   27   22    9   12    9    9   12    16   0     71.3     70.6 2
1996 10 21 23670 23670.5 2229  1  2.333  2.333  2.000  2.333  1.000  2.667  1.333  1.667    9    9    7    9    4   12    5    6     8   0     69.7     69.0 2
1996 10 22 23671 23671.5 2229  2  3.667  4.000  3.333  4.000  4.000  4.333  4.667  6.667   22   27   18   27   27   32   39  111    38   0     69.8     69.1 2
1996 10 23 23672 23672.5 2229  3  7.333  5.667  3.667  3.333  1.667  3.000  2.333  2.000  154   67   22   18    6   15    9    7    37   0     70.5     69.8 2
1996 10 24 23673 23673.5 2229  4  3.667  2.667  2.333  2.000  2.000  2.667  2.000  1.333   22   12    9    7    7   12    7    5    10   0     69.9     69.1 2
1996 10 25 23674 23674.5 2229  5  1.333  2.000  3.000  2.000  1.333  0.667  1.667  1.000    5    7   15    7    5    3    6    4     6   7     69.9     69.1 2
1996 10 26 23675 23675.5 2229  6  2.667  1.333  1.000  0.667  0.667  1.333  0.333  0.333   12    5    4    3    3    5    2    2     4   7     71.1     70.3 2
1996 10 27 23676 23676.5 2229  7  0.667  0.667  0.667  2.333  2.000  0.333  0.667  1.667    3    3    3    9    7    2    3    6     4   7     72.1     71.2 2
1996 10 28 23677 23677.5 2229  8  3.667  3.667  3.000  2.667  2.333  2.333  2.667  3.000   22   22   15   12    9    9   12   15    14   0     68.4     67.5 2
1996 10 29 23678 23678.5 2229  9  3.333  2.667  2.000  2.333  3.333  3.000  3.000  3.333   18   12    7    9   18   15   15   18    14   0     70.4     69.4 2
1996 10 30 23679 23679.5 2229 10  2.000  2.000  1.667  2.000  1.667  4.333  4.333  3.333    7    7    6    7    6   32   32   18    14   0     70.7     69.7 2
1996 10 31 23680 23680.5 2229 11  3.333  2.333  2.000  1.667  1.000  1.000  1.333  1.667   18    9    7    6    4    4    5    6     7   0     69.7     68.6 2
1996 11 01 23681 23681.5 2229 12  1.667  0.667  0.333  0.000  0.667  0.667  0.333  0.667    6    3    2    0    3    3    2    3     3   0     69.6     68.5 2
1996 11 02 23682 23682.5 2229 13  1.000  0.667  0.667  0.333  0.000  0.333  0.000  0.333    4    3    3    2    0    2    0    2     2   0     69.0     67.9 2
1996 11 03 23683 23683.5 2229 14  0.333  0.000  0.000  0.000  0.000  0.333  1.333  1.667    2    0    0    0    0    2    5    6     2   0     69.5     68.3 2
1996 11 04 23684 23684.5 2229 15  2.667  1.333  2.000  3.000  3.000  2.333  2.000  2.333   12    5    7   15   15    9    7    9    10   0     69.0     67.8 2
1996 11 05 23685 23685.5 2229 16  2.000  2.333  2.000  1.000  1.000  2.000  1.667  1.667    7    9    7    4    4    7    6    6     6   0     68.3     67.1 2
1996 11 06 23686 23686.5 2229 17  2.667  3.000  2.000  2.333  0.333  1.333  1.667  2.333   12   15    7    9    2    5    6    9     8   0     69.2     68.0 2
1996 11 07 23687 23687.5 2229 18  1.000  2.000  1.333  1.000  0.333  1.333  0.667  1.000    4    7    5    4    2    5    3    4     4   0     68.5     67.3 2
1996 11 08 23688 23688.5 2229 19  0.667  2.000  1.000  1.333  0.667  1.000  0.667  0.333    3    7    4    5    3    4    3    2     4   0     69.1     67.8 2
1996 11 09 23689 23689.5 2229 20  0.667  2.667  2.000  2.667  3.000  2.000  3.667  2.333    3   12    7   12   15    7   22    9    11  11     70.2     68.9 2
1996 11 10 23690 23690.5 2229 21  3.667  2.667  1.667  2.000  2.000  2.000  1.667  0.667   22   12    6    7    7    7    6    3     9  17     71.0     69.6 2
1996 11 11 23691 23691.5 2229 22  0.667  0.667  0.667  0.667  0.333  1.667  2.000  1.000    3    3    3    3    2    6    7    4     4  20     71.5     70.0 2
1996 11 12 23692 23692.5 2229 23  3.333  2.333  3.000  2.000  1.667  1.000  0.333  1.667   18    9   15    7    6    4    2    6     8  15     72.2     70.7 2
1996 11 13 23693 23693.5 2229 24  1.333  2.333  1.000  2.000  2.000  3.000  5.000  4.333    5    9    4    7    7   15   48   32    16  15     73.1     71.5 2
1996 11 14 23694 23694.5 2229 25  5.333  2.333  1.667  3.333  3.333  3.333  4.000  3.000   56    9    6   18   18   18   27   15    21   0     73.7     72.1 2
1996 11 15 23695 23695.5 2229 26  3.000  2.333  2.333  3.667  4.000  3.667  2.333  1.000   15    9    9   22   27   22    9    4    15  28     73.6     71.9 2
1996 11 16 23696 23696.5 2229 27  1.000  1.333  1.333  1.333  1.333  1.000  1.000  1.333    4    5    5    5    5    4    4    5     5  56     73.9     72.2 2
1996 11 17 23697 23697.5 2230  1  2.000  2.000  2.667  2.667  1.333  1.333  4.000  4.000    7    7   12   12    5    5   27   27    13  25     72.0     70.4 2
1996 11 18 23698 23698.5 2230  2  3.667  4.000  2.667  2.667  3.000  2.667  2.333  1.333   22   27   12   12   15   12    9    5    14  13     74.1     72.4 2
1996 11 19 23699 23699.5 2230  3  3.000  3.000  2.000  1.667  2.000  1.667  1.667  3.000   15   15    7    6    7    6    6   15    10  14     74.4     72.6 2
1996 11 20 23700 23700.5 2230  4  2.000  1.667  1.667  1.667  0.667  2.000  2.667  3.333    7    6    6    6    3    7   12   18     8  13     74.5     72.7 2
1996 11 21 23701 23701.5 2230  5  3.000  2.333  1.000  0.667  0.333  1.000  1.000  1.333   15    9    4    3    2    4    4    5     6  25     74.4     72.6 2
1996 11 22 23702 23702.5 2230  6  2.000  1.000  1.333  1.000  1.333  1.333  0.333  0.333    7    4    5    4    5    5    2    2     4  33     82.6     80.6 2
1996 11 23 23703 23703.5 2230  7  0.333  1.333  1.333  1.000  0.333  0.667  1.667  1.000    2    5    5    4    2    3    6    4     4  61     91.0     88.7 2
