#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1964 10 01 11962 11962.5 1795 11  3.667  3.333  2.333  1.667  1.667  2.333  0.333  0.667   22   18    9    6    6    9    2    3     9  25     72.2     72.3 2
1964 10 02 11963 11963.5 1795 12  2.667  0.667  0.333  0.000  0.667  1.000  1.667  0.667   12    3    2    0    3    4    6    3     4  18     71.8     71.9 2
1964 10 03 11964 11964.5 1795 13  1.667  0.333  1.000  1.333  3.000  3.667  3.000  2.667    6    2    4    5   15   22   15   12    10   0     72.0     72.0 2
1964 10 04 11965 11965.5 1795 14  3.667  4.667  3.000  3.667  2.333  5.000  5.000  4.667   22   39   15   22    9   48   48   39    30   0     71.1     71.1 2
1964 10 05 11966 11966.5 1795 15  4.333  3.333  3.000  2.667  3.667  3.333  3.667  3.333   32   18   15   12   22   18   22   18    20   0     71.9     71.9 2
1964 10 06 11967 11967.5 1795 16  3.000  1.000  2.333  1.667  3.000  3.667  3.000  3.000   15    4    9    6   15   22   15   15    13  21     73.0     72.9 2
1964 10 07 11968 11968.5 1795 17  4.000  3.667  2.667  2.000  1.333  1.333  2.333  3.333   27   22   12    7    5    5    9   18    13  29     74.4     74.3 2
1964 10 08 11969 11969.5 1795 18  2.333  3.000  3.000  2.000  3.000  3.667  3.667  2.667    9   15   15    7   15   22   22   12    15  24     77.4     77.2 2
1964 10 09 11970 11970.5 1795 19  3.000  3.333  4.333  3.000  2.333  1.333  2.333  1.667   15   18   32   15    9    5    9    6    14  17     73.5     73.3 2
1964 10 10 11971 11971.5 1795 20  2.000  0.000  0.333  1.000  1.333  1.333  0.667  0.333    7    0    2    4    5    5    3    2     4   0     73.3     73.0 2
1964 10 11 11972 11972.5 1795 21  0.000  0.000  0.333  0.333  1.333  1.333  1.333  1.333    0    0    2    2    5    5    5    5     3   0     72.2     71.9 2
1964 10 12 11973 11973.5 1795 22  1.667  0.667  2.667  4.333  4.000  3.333  2.333  2.667    6    3   12   32   27   18    9   12    15   0     70.4     70.1 2
1964 10 13 11974 11974.5 1795 23  2.333  2.667  2.000  1.333  2.000  1.333  1.667  2.000    9   12    7    5    7    5    6    7     7   0     72.7     72.3 2
1964 10 14 11975 11975.5 1795 24  3.333  3.333  2.000  1.667  1.000  0.000  0.333  0.667   18   18    7    6    4    0    2    3     7   0     71.0     70.6 2
1964 10 15 11976 11976.5 1795 25  2.333  1.000  2.333  2.000  1.000  1.667  1.333  1.667    9    4    9    7    4    6    5    6     6   0     71.0     70.5 2
1964 10 16 11977 11977.5 1795 26  1.667  2.333  0.667  0.000  0.000  0.333  1.000  1.000    6    9    3    0    0    2    4    4     4   0     71.5     71.0 2
1964 10 17 11978 11978.5 1795 27  1.333  3.000  2.333  1.333  1.667  1.667  0.333  1.000    5   15    9    5    6    6    2    4     6   0     71.4     70.9 2
1964 10 18 11979 11979.5 1796  1  1.333  2.667  2.000  2.000  2.667  2.333  3.000  4.000    5   12    7    7   12    9   15   27    12  18     72.9     72.3 2
1964 10 19 11980 11980.5 1796  2  3.667  4.000  3.333  3.000  4.667  4.667  3.667  3.667   22   27   18   15   39   39   22   22    26  17     73.3     72.7 2
1964 10 20 11981 11981.5 1796  3  4.000  2.333  1.333  2.333  2.333  2.000  3.333  3.000   27    9    5    9    9    7   18   15    12  15     73.1     72.4 2
1964 10 21 11982 11982.5 1796  4  3.000  2.667  3.000  3.000  2.333  3.333  4.000  2.333   15   12   15   15    9   18   27    9    15   0     71.4     70.7 2
1964 10 22 11983 11983.5 1796  5  1.667  1.667  1.667  1.333  0.333  0.000  0.333  0.000    6    6    6    5    2    0    2    0     3   0     73.0     72.2 2
1964 10 23 11984 11984.5 1796  6  0.000  0.000  0.000  0.000  0.333  0.000  0.333  0.333    0    0    0    0    2    0    2    2     1   0     73.5     72.7 2
