#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
2019 12 01 32111 32111.5 2541 18  1.333  0.667  0.000  0.000  0.667  1.000  1.333  1.667    5    3    0    0    3    4    5    6     3   0     71.2     69.2 2
2019 12 02 32112 32112.5 2541 19  0.333  1.000  0.667  0.000  0.000  0.000  0.000  0.000    2    4    3    0    0    0    0    0     1   0     70.4     68.4 2
2019 12 03 32113 32113.5 2541 20  0.000  0.333  0.000  0.333  0.000  0.333  0.333  0.333    0    2    0    2    0    2    2    2     1   0     69.9     67.9 2
2019 12 04 32114 32114.5 2541 21  1.000  1.667  0.667  0.333  1.000  0.333  0.667  0.000    4    6    3    2    4    2    3    0     3   0     69.6     67.6 2
2019 12 05 32115 32115.5 2541 22  0.000  0.000  0.000  0.667  0.667  0.667  0.333  0.000    0    0    0    3    3    3    2    0     1   0     70.7     68.6 2
2019 12 06 32116 32116.5 2541 23  0.000  1.000  0.667  0.333  0.667  0.667  0.333  0.667    0    4    3    2    3    3    2    3     2   0     70.3     68.3 2
2019 12 07 32117 32117.5 2541 24  0.667  0.000  0.000  0.667  0.333  0.333  0.333  0.667    3    0    0    3    2    2    2    3     2   0     70.2     68.2 2
2019 12 08 32118 32118.5 2541 25  0.000  0.333  0.333  0.000  0.333  0.667  1.333  1.333    0    2    2    0    2    3    5    5     2   0     71.6     69.4 2
2019 12 09 32119 32119.5 2541 26  2.667  1.000  0.000  0.000  0.333  0.667  0.333  1.667   12    4    0    0    2    3    2    6     4   0     70.7     68.6 2
2019 12 10 32120 32120.5 2541 27  0.667  2.000  1.000  1.000  0.333  0.333  0.667  1.000    3    7    4    4    2    2    3    4     4   0     70.6     68.4 2
2019 12 11 32121 32121.5 2542  1  2.667  2.000  0.333  0.667  1.000  1.667  0.667  1.667   12    7    2    3    4    6    3    6     5   0     70.7     68.6 2
2019 12 12 32122 32122.5 2542  2  1.000  0.000  1.333  1.333  0.333  0.000  0.333  1.667    4    0    5    5    2    0    2    6     3   0     70.5     68.3 2
