#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1976 03 01 16131 16131.5 1949 22  3.667  4.000  3.000  3.000  3.667  3.000  2.667  3.667   22   27   15   15   22   15   12   22    19   0     69.0     67.8 2
1976 03 02 16132 16132.5 1949 23  3.000  4.667  3.667  3.333  4.000  5.000  5.000  5.000   15   39   22   18   27   48   48   48    33   0     69.3     68.1 2
1976 03 03 16133 16133.5 1949 24  4.000  4.000  4.000  3.333  4.000  4.333  4.333  4.667   27   27   27   18   27   32   32   39    29   0     68.6     67.5 2
1976 03 04 16134 16134.5 1949 25  4.333  3.000  2.000  2.667  2.333  2.333  2.333  1.667   32   15    7   12    9    9    9    6    12   0     68.5     67.4 2
1976 03 05 16135 16135.5 1949 26  2.000  2.667  3.000  3.000  2.000  2.333  2.000  5.000    7   12   15   15    7    9    7   48    15   0     68.7     67.6 2
1976 03 06 16136 16136.5 1949 27  3.333  3.667  3.333  3.333  3.667  5.000  4.667  6.000   18   22   18   18   22   48   39   80    33  15     68.6     67.6 2
1976 03 07 16137 16137.5 1950  1  4.667  3.667  3.333  3.667  3.333  5.000  3.667  4.000   39   22   18   22   18   48   22   27    27  18     69.0     68.0 2
1976 03 08 16138 16138.5 1950  2  5.667  6.000  5.667  4.333  4.333  3.667  3.000  4.000   67   80   67   32   32   22   15   27    43  11     68.9     67.9 2
1976 03 09 16139 16139.5 1950  3  4.000  5.000  4.000  3.667  4.667  4.333  5.000  5.333   27   48   27   22   39   32   48   56    37  15     69.2     68.3 2
1976 03 10 16140 16140.5 1950  4  4.333  5.000  3.333  3.667  4.000  4.667  4.000  5.000   32   48   18   22   27   39   27   48    33  18     69.4     68.5 2
1976 03 11 16141 16141.5 1950  5  4.667  4.000  3.000  4.333  4.000  4.333  4.000  3.333   39   27   15   32   27   32   27   18    27  19     69.8     68.9 2
1976 03 12 16142 16142.5 1950  6  4.667  4.667  4.000  4.333  3.333  3.000  3.333  3.667   39   39   27   32   18   15   18   22    26  19     69.8     69.0 2
1976 03 13 16143 16143.5 1950  7  4.000  2.333  2.333  2.000  2.333  1.667  2.667  2.667   27    9    9    7    9    6   12   12    11  19     71.8     71.0 2
