#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1944 03 08  4450  4450.5 1517  5  2.333  3.667  2.333  2.667  4.333  3.667  5.000  3.000    9   22    9   12   32   22   48   15    21   0     -1.0     -1.0 2
1944 03 09  4451  4451.5 1517  6  4.333  4.667  2.333  5.000  4.000  4.000  3.667  4.000   32   39    9   48   27   27   22   27    29   0     -1.0     -1.0 2
1944 03 10  4452  4452.5 1517  7  4.000  4.667  5.000  4.667  5.333  4.667  4.667  4.333   27   39   48   39   56   39   39   32    40   0     -1.0     -1.0 2
1944 03 11  4453  4453.5 1517  8  2.667  3.667  3.000  3.667  1.667  1.667  4.000  2.000   12   22   15   22    6    6   27    7    15   0     -1.0     -1.0 2
1944 03 12  4454  4454.5 1517  9  3.000  4.000  3.333  3.333  3.667  5.000  4.000  4.333   15   27   18   18   22   48   27   32    26   0     -1.0     -1.0 2
1944 03 13  4455  4455.5 1517 10  4.000  3.333  2.667  2.333  4.333  4.000  1.667  1.000   27   18   12    9   32   27    6    4    17   0     -1.0     -1.0 2
1944 03 14  4456  4456.5 1517 11  2.667  3.667  3.667  3.333  2.000  1.333  3.000  0.667   12   22   22   18    7    5   15    3    13  12     -1.0     -1.0 2
1944 03 15  4457  4457.5 1517 12  0.667  2.667  1.333  0.667  1.333  0.333  2.000  2.667    3   12    5    3    5    2    7   12     6   0     -1.0     -1.0 2
1944 03 16  4458  4458.5 1517 13  2.667  3.667  1.333  2.333  2.000  2.000  0.333  0.333   12   22    5    9    7    7    2    2     8  13     -1.0     -1.0 2
1944 03 17  4459  4459.5 1517 14  0.333  0.333  0.333  0.333  0.333  0.333  0.333  0.333    2    2    2    2    2    2    2    2     2  23     -1.0     -1.0 2
1944 03 18  4460  4460.5 1517 15  0.000  0.000  2.000  1.000  1.333  2.000  4.000  5.333    0    0    7    4    5    7   27   56    13  48     -1.0     -1.0 2
1944 03 19  4461  4461.5 1517 16  6.333  5.333  2.333  3.667  3.333  1.333  3.667  4.667   94   56    9   22   18    5   22   39    33  52     -1.0     -1.0 2
1944 03 20  4462  4462.5 1517 17  3.333  1.000  2.667  2.333  1.333  0.333  1.667  1.000   18    4   12    9    5    2    6    4     8  55     -1.0     -1.0 2
1944 03 21  4463  4463.5 1517 18  1.667  3.000  0.667  0.333  0.667  1.000  1.667  3.000    6   15    3    2    3    4    6   15     7  45     -1.0     -1.0 2
1944 03 22  4464  4464.5 1517 19  3.333  3.667  2.333  3.000  3.333  2.333  1.667  1.333   18   22    9   15   18    9    6    5    13  60     -1.0     -1.0 2
1944 03 23  4465  4465.5 1517 20  1.000  2.667  2.000  1.333  1.000  1.667  3.000  3.000    4   12    7    5    4    6   15   15     8  60     -1.0     -1.0 2
1944 03 24  4466  4466.5 1517 21  0.667  0.333  0.667  1.000  1.000  1.333  0.000  0.000    3    2    3    4    4    5    0    0     3  37     -1.0     -1.0 2
1944 03 25  4467  4467.5 1517 22  0.333  1.000  1.000  2.000  2.000  2.333  3.333  3.333    2    4    4    7    7    9   18   18     9  23     -1.0     -1.0 2
1944 03 26  4468  4468.5 1517 23  3.667  4.333  5.333  4.667  6.000  2.333  2.000  5.333   22   32   56   39   80    9    7   56    38  23     -1.0     -1.0 2
1944 03 27  4469  4469.5 1517 24  7.333  7.000  5.667  5.667  3.333  3.000  3.667  2.333  154  132   67   67   18   15   22    9    60  20     -1.0     -1.0 2
1944 03 28  4470  4470.5 1517 25  1.667  1.333  1.333  2.333  2.333  2.667  2.333  4.000    6    5    5    9    9   12    9   27    10  20     -1.0     -1.0 2
1944 03 29  4471  4471.5 1517 26  4.667  5.000  5.000  3.667  2.333  2.667  2.667  2.000   39   48   48   22    9   12   12    7    25  25     -1.0     -1.0 2
1944 03 30  4472  4472.5 1517 27  3.667  2.667  3.333  1.667  2.333  3.333  2.000  4.667   22   12   18    6    9   18    7   39    16  12     -1.0     -1.0 2
1944 03 31  4473  4473.5 1518  1  3.000  3.000  3.000  2.333  2.333  0.000  1.000  1.667   15   15   15    9    9    0    4    6     9   0     -1.0     -1.0 2
1944 04 01  4474  4474.5 1518  2  2.667  0.667  1.000  1.667  1.667  1.333  4.000  4.333   12    3    4    6    6    5   27   32    12   0     -1.0     -1.0 2
1944 04 02  4475  4475.5 1518  3  4.333  5.000  8.000  8.333  6.000  4.000  5.000  4.000   32   48  207  236   80   27   48   27    88   0     -1.0     -1.0 2
1944 04 03  4476  4476.5 1518  4  5.000  5.000  3.667  2.000  2.000  2.000  3.000  3.000   48   48   22    7    7    7   15   15    21   0     -1.0     -1.0 2
1944 04 04  4477  4477.5 1518  5  3.000  3.333  4.333  5.333  3.667  3.333  3.000  3.000   15   18   32   56   22   18   15   15    24   0     -1.0     -1.0 2
1944 04 05  4478  4478.5 1518  6  3.000  4.667  3.000  4.000  2.667  4.000  4.333  4.000   15   39   15   27   12   27   32   27    24   0     -1.0     -1.0 2
1944 04 06  4479  4479.5 1518  7  3.333  3.000  5.000  5.000  3.000  4.333  3.667  2.667   18   15   48   48   15   32   22   12    26   0     -1.0     -1.0 2
1944 04 07  4480  4480.5 1518  8  4.333  2.667  3.333  2.667  2.000  3.333  4.667  5.000   32   12   18   12    7   18   39   48    23   0     -1.0     -1.0 2
1944 04 08  4481  4481.5 1518  9  3.667  2.000  0.667  2.667  5.333  1.667  3.333  2.333   22    7    3   12   56    6   18    9    17   0     -1.0     -1.0 2
1944 04 09  4482  4482.5 1518 10  1.000  1.667  1.333  1.000  0.667  2.000  3.333  4.000    4    6    5    4    3    7   18   27     9   0     -1.0     -1.0 2
1944 04 10  4483  4483.5 1518 11  3.333  5.000  5.667  4.000  3.333  3.000  1.333  2.667   18   48   67   27   18   15    5   12    26   0     -1.0     -1.0 2
